id,empresa,nps,npstipo,causa1,causa2,causa3,region,prod,verbatim
2000007759,Movistar,10,Promotores,La modalidad de pago de la factura y compra de producto,Facilidad para encontrar puntos de venta y pago,Descarga de juegos y aplicaciones,AMBA,Mixto,PORQUE NUNCA ME AFALLADO ME FUI AFUERA TAMBIEN ME ANDUBO BIEN NO TUBE PROBLEMAS EN EL SENTIDO DE QUE TUBE UN COMPAÑIA Y NO PODIA HABLAR A LARGA DISTANCIA Y CON MOVISTAR NO TENGO PROBLEMAS
2000177921,Claro,8,Neutros,La atención al cliente,Otros,Otros,SUR,Postpago,en el tema aveces de la atencion me compre un telefono me vendieron usados y fallado y reclamado varias veces
2000002001,Movistar,10,Promotores,La calidad y cobertura de la señal,Calidad de envío de mensajes (SMS yo Whatsapp yu otras apl,Calidad de envío de mensaje de texto (SMS),AMBA,Mixto,BUEN FUNCIONAMIENTO EFICAZ EN TODO
2000003237,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Prepago,PORQUE TIENE SEÑAL EN TODOS LADOS PARA RECIBIR Y REALIZAR LLAMADAS
2000155310,Claro,6,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,LITORAL,Prepago,PORQUE CUANDO ESTOY EN MI CASA NO TENGO SEÑAL G DENTRO NO SIRVE EL INTERNET DENTRO DE LA CASAFUERA DE LA CASA SI HAY SEÑAL
2000004784,Movistar,5,Detractores,La calidad y cobertura de la señal,Otros,Otros,AMBA,Postpago,POR QUE DESPUES DE 10 AÑOS PASE DE TODO CON MOVISTAR LOS SERVICIOS NUNCA FUERON BUENOS MUCHAS VECES SE CORTAN LAS COMUNICACIONES CUANDO ESTOY HABLANDO SE CORTA DE LA NADA TIENE PROBLEMAS CON LA ANTENA
2000015148,Claro,10,Promotores,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,ES ACCESIBLE Y TENGO COBERTURA EN TODOS LADOS
2000155244,Personal,8,Neutros,Los precios y variedad de planespacks,InternetDatos a través de celular,Plan todo en uno (combina llamados mensajes de texto datos,LITORAL,Mixto,DEBERIA MEJORAR EL INTERNET YA QUE SE CORTA Y NO PUEDO NAVEGAR CUANDO INGRESO A YOUTUBE NO ME CARGAN LOS VIDEOS Y ME INDICA QUE YA A CULMINADO EL CREDITO
2000155273,Claro,9,Promotores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,LITORAL,Prepago,TIENE BUEN SERVICIO A VECES ME DEMORO EN PAGAR Y ME PERMITEN 2 O 3 PARA PAGAR EL SERVICIO ADEMAS NO HE TENIDO PROBLEMA
2000014685,Claro,7,Neutros,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,AMBA,Mixto,LA ATENCION AL CLIENTE TENGO QUE LLAMAR MAS DE 5 VECES PARA QUE ME SOLUCIONAR LOS PLANES A LA HORA DEL AUMENTO ME AUMENTARON SIN AVISARME Y PAGUE MAS
